Company,Symbol,Weight
Apple Inc,AAPL,13.321
Microsoft Corp,MSFT,10.91
Amazon.com Inc,AMZN,10.755
Facebook Inc,FB,4.25
Alphabet Inc,GOOGL,3.442
Tesla Inc,TSLA,3.359
Alphabet Inc,GOOG,3.344
NVIDIA Corp,NVDA,2.812
Adobe Inc,ADBE,2.036
PayPal Holdings Inc,PYPL,1.944
Netflix Inc,NFLX,1.884
Intel Corp,INTC,1.879
Comcast Corp,CMCSA,1.862
PepsiCo Inc,PEP,1.636
Cisco Systems Inc,CSCO,1.437
Costco Wholesale Corp,COST,1.339
Amgen Inc,AMGN,1.264
Broadcom Inc,AVGO,1.262
T-Mobile US Inc,TMUS,1.227
QUALCOMM Inc,QCOM,1.143
Texas Instruments Inc,TXN,1.121
Charter Communications Inc,CHTR,1.114
Starbucks Corp,SBUX,0.872
Advanced Micro Devices Inc,AMD,0.811
Zoom Video Communications Inc,ZM,0.8
Intuit Inc,INTU,0.738
Mondelez International Inc,MDLZ,0.71
Intuitive Surgical Inc,ISRG,0.698
Gilead Sciences Inc,GILD,0.691
Vertex Pharmaceuticals Inc,VRTX,0.618
JD.com Inc ADR,JD,0.606
Fiserv Inc,FISV,0.605
Booking Holdings Inc,BKNG,0.601
Activision Blizzard Inc,ATVI,0.553
Regeneron Pharmaceuticals Inc,REGN,0.531
CSX Corp,CSX,0.529
Automatic Data Processing Inc,ADP,0.512
Micron Technology Inc,MU,0.483
Applied Materials Inc,AMAT,0.471
MercadoLibre Inc,MELI,0.467
Autodesk Inc,ADSK,0.442
Lam Research Corp,LRCX,0.426
Illumina Inc,ILMN,0.387
Biogen Inc,BIIB,0.383
Analog Devices Inc,ADI,0.371
Monster Beverage Corp,MNST,0.368
DocuSign Inc,DOCU,0.348
Lululemon Athletica Inc,LULU,0.347
DexCom Inc,DXCM,0.341
Workday Inc,WDAY,0.338
Electronic Arts Inc,EA,0.335
Cognizant Technology Solutions Corp,CTSH,0.327
eBay Inc,EBAY,0.325
Xcel Energy Inc,XEL,0.318
Kraft Heinz Co/The,KHC,0.315
Baidu Inc ADR,BIDU,0.308
Exelon Corp,EXC,0.306
NetEase Inc ADR,NTES,0.3
Cintas Corp,CTAS,0.3
NXP Semiconductors NV,NXPI,0.296
O'Reilly Automotive Inc,ORLY,0.291
Seattle Genetics Inc,SGEN,0.285
IDEXX Laboratories Inc,IDXX,0.284
Synopsys Inc,SNPS,0.28
Ross Stores Inc,ROST,0.277
Walgreens Boots Alliance Inc,WBA,0.272
Marriott International Inc/MD,MAR,0.267
Verisk Analytics Inc,VRSK,0.261
Splunk Inc,SPLK,0.26
KLA Corp,KLAC,0.259
Cadence Design Systems Inc,CDNS,0.256
PACCAR Inc,PCAR,0.256
Paychex Inc,PAYX,0.247
ASML Holding NV,ASML,0.244
Moderna Inc,MRNA,0.243
ANSYS Inc,ANSS,0.237
Fastenal Co,FAST,0.228
Alexion Pharmaceuticals Inc,ALXN,0.222
Align Technology Inc,ALGN,0.222
Microchip Technology Inc,MCHP,0.221
Xilinx Inc,XLNX,0.217
Copart Inc,CPRT,0.217
VeriSign Inc,VRSN,0.209
Skyworks Solutions Inc,SWKS,0.204
Sirius XM Holdings Inc,SIRI,0.197
Pinduoduo Inc ADR,PDD,0.19
Dollar Tree Inc,DLTR,0.188
Cerner Corp,CERN,0.187
Take-Two Interactive Software Inc,TTWO,0.168
Incyte Corp,INCY,0.168
Maxim Integrated Products Inc,MXIM,0.155
Check Point Software Technologies Ltd,CHKP,0.149
Citrix Systems Inc,CTXS,0.149
CDW Corp/DE,CDW,0.142
Trip.com Group Ltd ADR,TCOM,0.14
BioMarin Pharmaceutical Inc,BMRN,0.124
Expedia Group Inc,EXPE,0.112
Ulta Beauty Inc,ULTA,0.108
Western Digital Corp,WDC,0.103
Fox Corp,FOXA,0.081
Liberty Global PLC,LBTYK,0.072
Fox Corp,FOX,0.062
Liberty Global PLC,LBTYA,0.034
